DORSALA	POSTUA	DENBORA
469	1	14:30:02
1082	2	15:02:12
61	3	15:07:33
216	4	15:18:11
244	5	15:56:35
5	6	16:03:03
283	7	16:05:47
368	8	16:08:23
85	9	16:29:13
174	10	16:33:12
297	11	16:39:54
276	12	16:45:58
198	13	16:49:48
1108	14	16:52:18
518	15	17:18:42
705	16	17:20:16
449	17	17:36:22
477	18	17:53:24
308	19	18:09:09
540	20	18:17:22
867	21	18:20:48
621	22	18:25:25
481	23	18:31:46
385	24	18:35:17
514	25	18:40:43
605	26	18:48:51
511	27	18:59:18
972	28	19:12:11
1092	29	19:22:58
255	30	19:23:05
498	31	19:36:35
912	32	19:39:59
902	33	19:41:39
852	34	19:45:07
463	35	19:49:48
577	36	20:11:31
568	37	20:29:57
724	38	20:34:55
413	39	20:44:52
529	40	20:49:16
921	41	20:57:23
907	42	21:09:45
298	43	21:11:42
806	44	21:17:35
1085	45	21:27:24
999	46	21:27:33
975	47	21:28:07
256	48	21:32:36
779	49	21:35:06
974	50	21:36:38
857	51	21:46:08
790	52	21:55:07
891	53	21:55:09
917	54	21:55:42
600	55	21:58:43
830	56	22:02:57
1102	57	22:06:55
1125	58	22:07:36
1032	59	22:11:27
1023	60	22:11:27
632	61	22:18:00
814	62	22:23:57
1049	63	22:29:23
916	64	22:43:43
881	65	22:45:04
584	66	22:45:04
585	67	22:47:52
773	68	22:49:51
1029	69	23:00:41
933	70	23:04:47
940	71	23:04:49
635	72	23:07:50
508	73	23:09:28
950	74	23:16:21
945	75	23:20:10
989	76	23:20:47
1027	77	23:22:16
880	78	23:23:02
525	79	23:29:19
784	80	23:29:21
816	81	23:29:50
923	82	23:29:53
843	83	23:30:07
973	84	23:36:06
497	85	23:36:09
547	86	23:43:40
811	87	23:45:29
1039	88	23:49:36
939	89	23:50:58
1133	90	24:38:27
